	中国本土の感染者数	世界の死者数	中国本土の退院・治癒	中国本土の感染疑い	香港	マカオ	台湾	日本	韓国	ベトナム	シンガポール	豪州	マレーシア	カンボジア	ニュージーランド	フィリピン	フランス	フィンランド	ドイツ	イタリア	モナコ	ロシア	ベラルーシ	リトアニア	オランダ	スペイン	スウェーデン	英国	ベルギー	オーストリア	スイス	クロアチア	ギリシャ	ノルウェー	ジョージア	北マケドニア	デンマーク	チェコ	エストニア	ルーマニア	アイスランド	サンマリノ	アルメニア	ルクセンブルク	ラトビア	ポルトガル	アイルランド	タイ	ネパール	スリランカ	インド	インドネシア	パキスタン	米国	カナダ	メキシコ	ドミニカ共和国	アラブ首長国連邦	バーレーン	オマーン	アフガニスタン	エジプト	イラク	イラン	カタール	アゼルバイジャン	イスラエル	レバノン	クウェート	サウジアラビア	ヨルダン	アルジェリア	ナイジェリア	セネガル	チュニジア	ブラジル	エクアドル	中国本土外の感染者	クルーズ船内	世界全体の感染者
	30.589,114.315				22.287,114.143	22.159,113.564	24.014,121.111	35.692,139.739	36.572,127.613	14.487,108.523	1.323,103.908	-23.395,133.784	3.847,102.442	12.789,104.909	-41.269,174.759	12.011,123.885	47.142,2.414	63.139,25.796	51.163,10.631	42.567,12.655	43.733, 7.419	62.204,99.919	53.640,27.981	55.344,24.016	52.266,5.535	40.939,-3.537	60.413,15.589	52.695,-1.023	50.851,4.347	47.567,14.251	46.901,8.242	44.805,15.320	39.337, 21.994	61.249, 8.906	42.002, 43.558	41.647, 21.690	56.149, 9.278	49.767,15.370	58.732, 25.764	46.474, 24.582	64.839,-18.588	43.934, 12.447	40.529,44.741	49.775,6.108	57.045,25.237	39.479,-8.240	53.430, -7.927	15.547,101.347	27.845,85.423	7.324,80.699	21.689,78.646	-6.198,106.845	29.723,69.189	38.460,-98.721	56.898,-111.281	23.128,-101.979	18.902,-70.433	24.496,54.378	26.131,50.545	20.181,56.732	34.061,66.072	26.643,30.255	33.178,43.768	31.903, 54.352	25.355, 51.183	40.463,47.893	32.166,34.762	33.828,35.719	29.379,47.950	24.431,44.564	31.576,36.200	28.723,2.868	9.562,7.803	15.088,-14.897	34.139,9.517	-11.047, -51.823	-1.551, -78.904		34.000,143.000	
1/11	41	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/12	41	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/13	41	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/14	41	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/15	41	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/16	41	2	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
1/17	45	2	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
1/18	62	2	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
1/19	121	3	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121
1/20	198	3	31	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198
